,source_station_id,target_station_id,route_id,x_source,y_source,x_target,y_target,lon_source,lat_source,lon_target,lat_target,direction
8,place-coecl,place-prmnl,green-e,156.0660172,91.92388151,148.9949494,84.85281368999999,-71.077447,42.349974,-71.077447,42.349974,0
9,place-prmnl,place-symcl,green-e,148.9949494,84.85281368999999,148.9949494,64.85281368999999,-71.081696,42.34557,-71.081696,42.34557,0
10,place-symcl,place-nuniv,green-e,148.9949494,64.85281368999999,141.92388160000002,57.78174587999999,-71.085056,42.342687,-71.085056,42.342687,0
11,place-nuniv,place-mfa,green-e,141.92388160000002,57.78174587999999,134.85281369999998,50.71067807,-71.088806,42.340401,-71.088806,42.340401,0
12,place-mfa,place-lngmd,green-e,134.85281369999998,50.71067807,127.7817459,43.6396103,-71.095512,42.337711,-71.095512,42.337711,0
13,place-lngmd,place-brmnl,green-e,127.7817459,43.6396103,120.7106781,36.5685424,-71.100052,42.33596,-71.100052,42.33596,0
14,place-brmnl,place-fenwd,green-e,120.7106781,36.5685424,113.6396103,29.497474599999997,-71.104609,42.334229,-71.104609,42.334229,0
15,place-fenwd,place-mispk,green-e,113.6396103,29.497474599999997,106.5685425,22.42640679999999,-71.105728,42.333706,-71.105728,42.333706,0
16,place-mispk,place-rvrwy,green-e,106.5685425,22.42640679999999,99.49747468,15.35533899999999,-71.109756,42.333195,-71.109756,42.333195,0
17,place-rvrwy,place-bckhl,green-e,99.49747468,15.35533899999999,92.42640687,8.284271199999989,-71.111931,42.331684,-71.111931,42.331684,0
18,place-bckhl,place-hsmnl,green-e,92.42640687,8.284271199999989,85.35533905999999,1.213203399999987,-71.111313,42.330139,-71.111313,42.330139,0
21,place-kencl,place-fenwy,green-d,136.0660172,91.92388151,121.9238816,77.78174588,-71.095169,42.348949,-71.095169,42.348949,0
22,place-fenwy,place-longw,green-d,121.9238816,77.78174588,114.85281369999998,70.71067807,-71.104213,42.345403,-71.104213,42.345403,0
23,place-longw,place-bvmnl,green-d,114.85281369999998,70.71067807,107.7817459,63.63961026,-71.109956,42.341702,-71.109956,42.341702,0
24,place-bvmnl,place-brkhl,green-d,107.7817459,63.63961026,100.7106781,56.56854245,-71.116857,42.332608,-71.116857,42.332608,0
25,place-brkhl,place-bcnfd,green-d,100.7106781,56.56854245,93.63961031,49.49747463,-71.126683,42.331316,-71.126683,42.331316,0
26,place-bcnfd,place-rsmnl,green-d,93.63961031,49.49747463,86.56854249,42.4264068,-71.140455,42.335765,-71.140455,42.335765,0
27,place-rsmnl,place-chhil,green-d,86.56854249,42.4264068,79.49747468,35.35533899999999,-71.148758,42.335088,-71.148758,42.335088,0
28,place-chhil,place-newto,green-d,79.49747468,35.35533899999999,72.42640687,28.28427119999999,-71.164699,42.326753,-71.164699,42.326753,0
29,place-newto,place-newtn,green-d,72.42640687,28.28427119999999,65.35533906,21.213203399999987,-71.192414,42.329443,-71.192414,42.329443,0
30,place-newtn,place-eliot,green-d,65.35533906,21.213203399999987,58.28427125,14.142135600000003,-71.205509,42.322381,-71.205509,42.322381,0
31,place-eliot,place-waban,green-d,58.28427125,14.142135600000003,51.21320344,7.071067800000002,-71.216684,42.319045,-71.216684,42.319045,0
32,place-waban,place-woodl,green-d,51.21320344,7.071067800000002,44.142135620000005,0.0,-71.230609,42.325845,-71.230609,42.325845,0
33,place-woodl,place-river,green-d,44.142135620000005,0.0,34.14213562,0.0,-71.243362,42.332902,-71.243362,42.332902,0
34,place-kencl,place-smary,green-c,136.0660172,91.92388151,116.0660172,91.92388151,-71.095169,42.348949,-71.095169,42.348949,0
35,place-smary,place-hwsst,green-c,116.0660172,91.92388151,108.9949494,98.99494932,-71.107353,42.345974,-71.107353,42.345974,0
36,place-hwsst,place-kntst,green-c,108.9949494,98.99494932,101.9238816,106.06601713,-71.111145,42.344906,-71.111145,42.344906,0
37,place-kntst,place-stpul,green-c,101.9238816,106.06601713,91.92388155,106.06601713,-71.114197,42.344074,-71.114197,42.344074,0
38,place-stpul,place-cool,green-c,91.92388155,106.06601713,84.85281373999999,98.99494932,-71.116997,42.343327,-71.116997,42.343327,0
39,place-cool,place-sumav,green-c,84.85281373999999,98.99494932,77.78174593,91.92388151,-71.121263,42.342116,-71.121263,42.342116,0
40,place-sumav,place-bndhl,green-c,77.78174593,91.92388151,70.71067812,84.85281368999999,-71.12561,42.34111,-71.12561,42.34111,0
41,place-bndhl,place-fbkst,green-c,70.71067812,84.85281368999999,63.63961031,77.78174588,-71.129082,42.340023,-71.129082,42.340023,0
42,place-fbkst,place-bcnwa,green-c,63.63961031,77.78174588,56.56854249,70.71067807,-71.131073,42.339725,-71.131073,42.339725,0
43,place-bcnwa,place-tapst,green-c,56.56854249,70.71067807,49.49747468,63.63961026,-71.13533,42.339394,-71.13533,42.339394,0
44,place-tapst,place-denrd,green-c,49.49747468,63.63961026,42.42640687,56.56854245,-71.138702,42.338459,-71.138702,42.338459,0
45,place-denrd,place-engav,green-c,42.42640687,56.56854245,35.35533906,49.49747463,-71.141853,42.337807,-71.141853,42.337807,0
46,place-engav,place-clmnl,green-c,35.35533906,49.49747463,25.35533906,49.49747463,-71.14566,42.336971,-71.14566,42.336971,0
47,place-kencl,place-bland,green-b,136.0660172,91.92388151,128.9949494,98.99494932,-71.095169,42.348949,-71.095169,42.348949,0
48,place-bland,place-buest,green-b,128.9949494,98.99494932,121.9238816,106.06601713,-71.100258,42.349293,-71.100258,42.349293,0
49,place-buest,place-bucen,green-b,121.9238816,106.06601713,114.85281369999998,113.13708494,-71.103889,42.349735,-71.103889,42.349735,0
54,place-babck,place-brico,green-b,100.7106781,127.27922056,93.63961031,134.35028838,-71.119924,42.351616,-71.119924,42.351616,0
55,place-brico,place-harvd,green-b,93.63961031,134.35028838,83.63961031000001,134.35028838,-71.125031,42.351967,-71.125031,42.351967,0
56,place-harvd,place-grigg,green-b,83.63961031000001,134.35028838,73.63961031000001,134.35028838,-71.131355,42.350243,-71.131355,42.350243,0
57,place-grigg,place-alsgr,green-b,73.63961031000001,134.35028838,66.5685425,127.279220568,-71.134949,42.348545,-71.134949,42.348545,0
58,place-alsgr,place-wrnst,green-b,66.5685425,127.279220568,59.49747469000002,120.20815276,-71.137955,42.348701,-71.137955,42.348701,0
59,place-wrnst,place-wascm,green-b,59.49747469000002,120.20815276,52.426406880000016,113.13708494,-71.140457,42.348343,-71.140457,42.348343,0
60,place-wascm,place-sthld,green-b,52.426406880000016,113.13708494,45.355339070000014,106.06601713,-71.142853,42.343864,-71.142853,42.343864,0
61,place-sthld,place-chswk,green-b,45.355339070000014,106.06601713,38.28427125000002,98.99494932,-71.146202,42.341614,-71.146202,42.341614,0
62,place-chswk,place-chill,green-b,38.28427125000002,98.99494932,31.21320344000001,91.92388151,-71.150711,42.340805,-71.150711,42.340805,0
63,place-chill,place-sougr,green-b,31.21320344000001,91.92388151,24.142135630000013,84.85281369999998,-71.15316,42.338169,-71.15316,42.338169,0
