station_id,x,y,name,stop_lat,stop_lon,endpoint,map_color
place-lech,186.0660172,130.20815275,Lechmere Station,42.371572,-71.076584,0,black
place-spmnl,193.137085,123.13708494,Science Park Station,42.366664,-71.067666,0,black
place-north,200.2081528,116.06601713,North Station,42.365577,-71.06129,0,black
place-haecl,200.2081528,106.06601713,Haymarket Station,42.363021,-71.05829,0,black
place-gover,193.137085,98.99494931999999,Government Center Station,42.359705,-71.059215,0,black
place-pktrm,186.0660172,91.92388151,Park St. Station,42.356395,-71.062424,0,black
place-boyls,176.0660172,91.92388151,Boylston Street Station,42.35302,-71.06459,0,black
place-armnl,166.0660172,91.92388151,Arlington Station,42.351902,-71.070893,0,black
place-coecl,156.0660172,91.92388151,Copley Station,42.349974,-71.077447,0,black
place-prmnl,148.9949494,84.85281368999999,Prudential Station,42.34557,-71.081696,0,black
place-symcl,148.9949494,64.85281368999999,Symphony Station,42.342687,-71.085056,0,black
place-nuniv,141.92388160000002,57.78174587999999,Northeastern University Station,42.340401,-71.088806,0,black
place-mfa,134.85281369999998,50.71067807,Museum of Fine Arts Station,42.337711,-71.095512,0,black
place-lngmd,127.7817459,43.6396103,Longwood Medical Area Station,42.33596,-71.100052,0,black
place-brmnl,120.71067810000001,36.5685424,Brigham Circle Station,42.334229,-71.104609,0,black
place-fenwd,113.6396103,29.497474599999993,Fenwood Road Station,42.333706,-71.105728,0,black
place-mispk,106.5685425,22.42640679999999,Mission Park Station,42.333195,-71.109756,0,black
place-rvrwy,99.49747468,15.35533899999999,Riverway Station,42.331684,-71.111931,0,black
place-bckhl,92.42640687,8.284271199999989,Back of the Hill Station,42.330139,-71.111313,0,black
place-hsmnl,85.35533905999999,1.213203399999987,Heath Street Station,42.328316,-71.110252,1,green
place-hymnl,146.0660172,91.92388151,Hynes Convention Center,42.347888,-71.087903,0,black
place-kencl,136.0660172,91.92388151,Kenmore Station,42.348949,-71.095169,0,black
place-fenwy,121.9238816,77.78174588,Fenway Station,42.345403,-71.104213,0,black
place-longw,114.85281369999998,70.71067807,Longwood Station,42.341702,-71.109956,0,black
place-bvmnl,107.7817459,63.63961026,Brookline Village Station,42.332608,-71.116857,0,black
place-brkhl,100.71067810000001,56.568542449999995,Brookline Hills Station,42.331316,-71.126683,0,black
place-bcnfd,93.63961031000001,49.49747463,Beaconsfield Station,42.335765,-71.140455,0,black
place-rsmnl,86.56854249,42.426406799999995,Reservoir Station,42.335088,-71.148758,0,black
place-chhil,79.49747468,35.35533899999999,Chestnut Hill Station,42.326753,-71.164699,0,black
place-newto,72.42640687,28.28427119999999,Newton Centre Station,42.329443,-71.192414,0,black
place-newtn,65.35533906,21.213203399999987,Newton Highlands Station,42.322381,-71.205509,0,black
place-eliot,58.28427125,14.142135600000003,Eliot Station,42.319045,-71.216684,0,black
place-waban,51.21320344,7.071067800000002,Waban Station,42.325845,-71.230609,0,black
place-woodl,44.142135620000005,0.0,Woodland Station,42.332902,-71.243362,0,black
place-river,34.14213562,0.0,Riverside Station,42.337352,-71.252685,1,green
place-smary,116.0660172,91.92388151,Saint Mary Street Station,42.345974,-71.107353,0,black
place-hwsst,108.9949494,98.99494931999999,Hawes Street Station,42.344906,-71.111145,0,black
place-kntst,101.9238816,106.06601713,Kent Street Station,42.344074,-71.114197,0,black
place-stpul,91.92388155,106.06601713,Babcock Street Station,42.343327,-71.116997,0,black
place-cool,84.85281373999999,98.99494931999999,Coolidge Corner Station,42.342116,-71.121263,0,black
place-sumav,77.78174593,91.92388151,Summit Avenue Station,42.34111,-71.12561,0,black
place-bndhl,70.71067812,84.85281368999999,Brandon Hall Station,42.340023,-71.129082,0,black
place-fbkst,63.639610309999995,77.78174588,Fairbanks Street Station,42.339725,-71.131073,0,black
place-bcnwa,56.56854249,70.71067807,Washington Square Station,42.339394,-71.13533,0,black
place-tapst,49.497474679999996,63.63961026,Tappan Street Station,42.338459,-71.138702,0,black
place-denrd,42.426406869999994,56.568542449999995,Dean Road Station,42.337807,-71.141853,0,black
place-engav,35.35533906,49.49747463,Englewood Avenue Station,42.336971,-71.14566,0,black
place-clmnl,25.35533906,49.49747463,Cleveland Circle Station,42.336142,-71.149326,1,green
place-bland,128.9949494,98.99494931999999,Blandford Street Station,42.349293,-71.100258,0,black
place-buest,121.9238816,106.06601713,Boston University East Station,42.349735,-71.103889,0,black
place-bucen,114.85281369999998,113.13708494,Boston University Central Station,42.350082,-71.106865,0,black
place-amory,107.7817459,120.20815275000001,Amory Street Station,42.350992,-71.114748,0,black
place-babck,100.71067810000001,127.27922056,Babcock Street Station,42.351616,-71.119924,0,black
place-brico,93.63961031000001,134.35028838,Packards Corner Station,42.351967,-71.125031,0,black
place-harvd,83.63961031000001,134.35028838,Harvard Avenue Station,42.350243,-71.131355,0,black
place-grigg,73.63961031000001,134.35028838,Griggs Street Station,42.348545,-71.134949,0,black
place-alsgr,66.5685425,127.279220568,Allston Street Station,42.348701,-71.137955,0,black
place-wrnst,59.49747469000002,120.20815275999999,Warren Street Station,42.348343,-71.140457,0,black
place-wascm,52.426406880000016,113.13708494,Washington Street Station,42.343864,-71.142853,0,black
place-sthld,45.355339070000014,106.06601713,Sutherland Road Station,42.341614,-71.146202,0,black
place-chswk,38.28427125000002,98.99494931999999,Chiswick Road Station,42.340805,-71.150711,0,black
place-chill,31.21320344000001,91.92388151,Chestnut Hill Avenue Station,42.338169,-71.15316,0,black
place-sougr,24.142135630000013,84.85281369999998,South Street Station,42.3396,-71.157661,0,black
place-lake,14.142135630000013,84.85281369999998,Boston College Station,42.340081,-71.166769,1,green
place-asmnl,193.13708501000002,10.71067811999999,Ashmont Station,42.28452,-71.063777,1,red
place-smmnl,193.13708501000002,20.71067811999999,Shawmut Station,42.293126,-71.065738,0,black
place-fldcr,193.13708501000002,30.71067811999999,Fields Corner Station,42.300093,-71.061667,0,black
place-shmnl,193.13708501000002,40.71067811999999,Savin Hill Station,42.31129,-71.053331,0,black
place-jfk,200.20815282,47.78174591999999,JFK/UMass Station,42.320685,-71.052391,0,black
place-andrw,200.20815282,57.78174591999999,Andrew Station,42.330154,-71.057655,0,black
place-brdwy,200.20815282,67.78174587999999,Broadway Station,42.342622,-71.056967,0,black
place-sstat,200.20815282,77.78174587999999,South Station,42.352271,-71.055242,0,black
place-dwnxg,193.13708501000002,84.85281369999998,Downtown Crossing Station,42.355518,-71.060225,0,black
place-chmnl,178.99494938000004,98.99494931999999,Charles/MGH Station,42.361166,-71.070628,0,black
place-knncl,171.92388157000005,106.06601713,Kendall/MIT Station,42.362491,-71.086176,0,black
place-cntsq,164.85281376000003,113.13708494,Central Square Station,42.365486,-71.103802,0,black
place-harsq,157.78174595000002,120.20815276,Harvard Square Station,42.373362,-71.118956,0,black
place-portr,150.71067814000003,127.27922057,Porter Square Station,42.3884,-71.119149,0,black
place-davis,140.71067814000003,127.27922057,Davis Station,42.39674,-71.121815,0,black
place-alfcl,130.710678137,127.27922057,Alewife Station,42.39583,-71.141287,1,red
place-nqncy,207.27922063,40.71067811999999,North Quincy Station,42.275275,-71.029583,0,black
place-wlsta,214.35028844,33.639610219999994,Wollaston Station,42.266514,-71.020337,0,black
place-qnctr,221.42135626,26.568542419999996,Quincy Center Station,42.251809,-71.005409,0,black
place-qamnl,228.49242409000001,19.497474619999995,Quincy Adams Station,42.233391,-71.007153,0,black
place-brntn,228.49242409000001,9.497474619999995,Braintree Station,42.207854,-71.001138,1,red
place-wondl,266.77669529,134.35028838,Wonderland Station,42.41342,-70.991648,1,blue
place-rbmnl,259.70562749000004,127.27922057,Revere Beach Station,42.407843,-70.992533,0,black
place-bmmnl,252.63455969000003,120.20815276,Beachmont Station,42.397542,-70.992319,0,black
place-sdmnl,245.56349189000002,113.13708494,Suffolk Downs Station,42.390501,-70.997123,0,black
place-orhte,238.49242409000001,106.06601713,Orient Heights Station,42.386867,-71.004736,0,black
place-wimnl,231.42135629,98.99494931999999,Wood Island Station,42.37964,-71.022865,0,black
place-aport,224.35028849000003,91.92388151,Airport Station,42.374262,-71.030395,0,black
place-mvbcl,217.27922063,84.85281369999998,Maverick Station,42.369119,-71.03953,0,black
place-aqucl,207.27922063,84.85281369999998,Aquarium Station,42.359784,-71.051652,0,black
place-bomnl,186.0660172,106.06601713,Bowdoin Station,42.361365,-71.062037,1,blue
place-forhl,122.42640689000001,14.142135620000005,Forest Hills Station,42.300713,-71.113943,1,orange
place-grnst,129.49747470200003,21.21320341999999,Green St. Station,42.310525,-71.107414,0,black
place-sbmnl,136.56854251000001,28.28427121999999,Stony Brook Station,42.317062,-71.104248,0,black
place-jaksn,143.63961033000004,35.35533901999999,Jackson Square Station,42.323132,-71.099592,0,black
place-rcmnl,150.71067814000003,42.42640682,Roxbury Crossing Station,42.331397,-71.095451,0,black
place-rugg,157.78174595000002,49.49747461999999,Ruggles Station,42.336377,-71.088961,0,black
place-masta,164.85281376000003,56.56854242,Massachusetts Ave. Station,42.341512,-71.083423,0,black
place-bbsta,171.92388157000005,63.63961026,Back Bay Station,42.34735,-71.075727,0,black
place-tumnl,178.99494938000004,70.71067807,Tufts Medical Center Station,42.349662,-71.063917,0,black
place-chncl,186.0660172,77.78174587999999,Chinatown Station,42.352547,-71.062752,0,black
place-state,200.20815282,91.92388151,State St. Station,42.358978,-71.057598,0,black
place-ccmnl,207.27922063,118.99494931999999,Community College Station,42.373622,-71.069533,0,black
place-sull,207.27922063,128.99494932,Sullivan Station,42.383975,-71.076994,0,black
place-welln,207.27922063,148.99494932,Wellington Station,42.40237,-71.077082,0,black
place-mlmnl,207.27922063,158.99494932,Malden Center Station,42.426632,-71.07411,0,black
place-ogmnl,207.27922063,168.99494932,Oak Grove Station,42.43668,-71.071097,1,orange
place-esomr,178.9949494,137.27922056000003,East Somerville,42.379467,-71.086625,0,black
place-gilmn,171.9238816,144.35028837000004,Gilman Square,42.387928,-71.096766,0,black
place-mgngl,164.85281379999998,151.42135618000006,Magoun Square,42.393682,-71.106388,0,black
place-balsq,157.78174599999997,158.49242399000008,Ball Square,42.399889,-71.111003,0,black
place-mdftf,150.71067819999996,165.5634918000001,Medford/Tufts,42.407975,-71.117044,1,green
place-unsqu,176.06601720970923,130.20815275,Union Square,42.377359,-71.094761,1,green
place-astao,207.27922063,138.99494932,Assembly,42.392811,-71.077257,0,black
