stop_code,station_id
14748,place-ER-0115
37150,place-ER-0168
4255,place-MM-0150
39870,place-MM-0186
91852,place-NB-0120
141,place-alfcl
70061,place-alfcl
9070061,place-alfcl
70126,place-alsgr
70127,place-alsgr
170140,place-amory
170141,place-amory
13,place-andrw
70083,place-andrw
70084,place-andrw
70047,place-aport
70048,place-aport
7096,place-aport
7097,place-aport
70043,place-aqucl
70044,place-aqucl
70156,place-armnl
70157,place-armnl
334,place-asmnl
70093,place-asmnl
70094,place-asmnl
70261,place-asmnl
70278,place-astao
70279,place-astao
170136,place-babck
170137,place-babck
70509,place-balsq
70510,place-balsq
23391,place-bbsta
70014,place-bbsta
70015,place-bbsta
70257,place-bckhl
70258,place-bckhl
70176,place-bcnfd
70177,place-bcnfd
70229,place-bcnwa
70230,place-bcnwa
74632,place-belsq
74633,place-belsq
70148,place-bland
70149,place-bland
70055,place-bmmnl
70056,place-bmmnl
70225,place-bndhl
70226,place-bndhl
70038,place-bomnl
70838,place-bomnl
74634,place-boxdt
74635,place-boxdt
70158,place-boyls
70159,place-boyls
70081,place-brdwy
70082,place-brdwy
70134,place-brico
70135,place-brico
70178,place-brkhl
70179,place-brkhl
70249,place-brmnl
70250,place-brmnl
38671,place-brntn
70105,place-brntn
70144,place-bucen
70145,place-bucen
70146,place-buest
70147,place-buest
70265,place-butlr
70266,place-butlr
70180,place-bvmnl
70181,place-bvmnl
70273,place-capst
70274,place-capst
70028,place-ccmnl
70029,place-ccmnl
70263,place-cedgr
70264,place-cedgr
70269,place-cenav
70270,place-cenav
74630,place-chels
74631,place-chels
70172,place-chhil
70173,place-chhil
70112,place-chill
70113,place-chill
70073,place-chmnl
70074,place-chmnl
70018,place-chncl
70019,place-chncl
70114,place-chswk
70115,place-chswk
70237,place-clmnl
70238,place-clmnl
70069,place-cntsq
70070,place-cntsq
70154,place-coecl
70155,place-coecl
74614,place-conrd
74624,place-conrd
70219,place-cool
70220,place-cool
74612,place-crtst
74616,place-crtst
5104,place-davis
70063,place-davis
70064,place-davis
70233,place-denrd
70234,place-denrd
70020,place-dwnxg
70021,place-dwnxg
70077,place-dwnxg
70078,place-dwnxg
70166,place-eliot
70167,place-eliot
70235,place-engav
70236,place-engav
70513,place-esomr
70514,place-esomr
74636,place-estav
74637,place-estav
70227,place-fbkst
70228,place-fbkst
70251,place-fenwd
70252,place-fenwd
70186,place-fenwy
70187,place-fenwy
323,place-fldcr
70089,place-fldcr
70090,place-fldcr
10642,place-forhl
70001,place-forhl
875,place-forhl
70505,place-gilmn
70506,place-gilmn
70039,place-gover
70040,place-gover
70201,place-gover
70202,place-gover
70128,place-grigg
70129,place-grigg
70002,place-grnst
70003,place-grnst
70024,place-haecl
70025,place-haecl
70203,place-haecl
70204,place-haecl
2076,place-harsq
20761,place-harsq
70067,place-harsq
70068,place-harsq
70130,place-harvd
70131,place-harvd
70260,place-hsmnl
70213,place-hwsst
70214,place-hwsst
70152,place-hymnl
70153,place-hymnl
11531,place-jaksn
70006,place-jaksn
70007,place-jaksn
121,place-jfk
70085,place-jfk
70086,place-jfk
70095,place-jfk
70096,place-jfk
70150,place-kencl
70151,place-kencl
71150,place-kencl
71151,place-kencl
899,place-kencl
70071,place-knncl
70072,place-knncl
70215,place-kntst
70216,place-kntst
70106,place-lake
70107,place-lake
70500,place-lech
70501,place-lech
70502,place-lech
70247,place-lngmd
70248,place-lngmd
70182,place-longw
70183,place-longw
70012,place-masta
70013,place-masta
185,place-matt
18511,place-matt
70275,place-matt
70276,place-matt
70511,place-mdftf
70512,place-mdftf
70245,place-mfa
70246,place-mfa
70507,place-mgngl
70508,place-mgngl
70267,place-miltt
70268,place-miltt
70253,place-mispk
70254,place-mispk
5072,place-mlmnl
5327,place-mlmnl
53270,place-mlmnl
70034,place-mlmnl
70035,place-mlmnl
5740,place-mvbcl
57400,place-mvbcl
70045,place-mvbcl
70046,place-mvbcl
70168,place-newtn
70169,place-newtn
8155,place-newtn
8203,place-newtn
70170,place-newto
70171,place-newto
70026,place-north
70027,place-north
70205,place-north
70206,place-north
3125,place-nqncy
70097,place-nqncy
70098,place-nqncy
64,place-nubn
64000,place-nubn
70243,place-nuniv
70244,place-nuniv
70036,place-ogmnl
9328,place-ogmnl
15880,place-orhte
5879,place-orhte
5880,place-orhte
70051,place-orhte
70052,place-orhte
70075,place-pktrm
70076,place-pktrm
70196,place-pktrm
70197,place-pktrm
70198,place-pktrm
70199,place-pktrm
70200,place-pktrm
70065,place-portr
70066,place-portr
70239,place-prmnl
70240,place-prmnl
41031,place-qamnl
70103,place-qamnl
70104,place-qamnl
32001,place-qnctr
32002,place-qnctr
32003,place-qnctr
32004,place-qnctr
32005,place-qnctr
70101,place-qnctr
70102,place-qnctr
70057,place-rbmnl
70058,place-rbmnl
70008,place-rcmnl
70009,place-rcmnl
38155,place-river
70160,place-river
70161,place-river
21917,place-rsmnl
70174,place-rsmnl
70175,place-rsmnl
17861,place-rugg
17862,place-rugg
17863,place-rugg
70010,place-rugg
70011,place-rugg
70255,place-rvrwy
70256,place-rvrwy
70004,place-sbmnl
70005,place-sbmnl
70053,place-sdmnl
70054,place-sdmnl
70087,place-shmnl
70088,place-shmnl
70211,place-smary
70212,place-smary
70091,place-smmnl
70092,place-smmnl
70110,place-sougr
70111,place-sougr
70207,place-spmnl
70208,place-spmnl
70079,place-sstat
70080,place-sstat
74611,place-sstat
74617,place-sstat
70022,place-state
70023,place-state
70041,place-state
70042,place-state
70116,place-sthld
70117,place-sthld
70217,place-stpul
70218,place-stpul
29001,place-sull
29002,place-sull
29003,place-sull
29004,place-sull
29005,place-sull
29006,place-sull
29007,place-sull
29008,place-sull
29009,place-sull
29010,place-sull
29011,place-sull
29012,place-sull
29013,place-sull
29014,place-sull
70030,place-sull
70031,place-sull
70223,place-sumav
70224,place-sumav
70241,place-symcl
70242,place-symcl
70231,place-tapst
70232,place-tapst
70016,place-tumnl
70017,place-tumnl
70503,place-unsqu
70504,place-unsqu
70271,place-valrd
70272,place-valrd
70164,place-waban
70165,place-waban
70120,place-wascm
70121,place-wascm
5271,place-welln
70032,place-welln
70033,place-welln
5666,place-wimnl
70049,place-wimnl
70050,place-wimnl
70099,place-wlsta
70100,place-wlsta
15795,place-wondl
70059,place-wondl
70060,place-wondl
70162,place-woodl
70163,place-woodl
70124,place-wrnst
70125,place-wrnst
74613,place-wtcst
74615,place-wtcst
